0	1.9	0.06
0.5	1.93	0.08
1	1.97	0.08
1.5	2.01	0.1
2	2.06	0.1
2.5	2.11	0.12
3	2.17	0.12
3.5	2.23	0.12
4	2.29	0.12
4.5	2.35	0.14
5	2.42	0.14
5.5	2.49	0.18
6	2.58	0.18
6.5	2.67	0.2
7	2.77	0.22
7.5	2.88	0.26
8	3.01	0.5
8.1	3.06	0.4
8.2	3.1	0.4
8.3	3.14	0.4
8.4	3.18	0.5
8.5	3.23	0.5
8.6	3.28	0.5
8.7	3.33	0.7
8.8	3.4	0.7
8.9	3.47	0.8
9	3.55	1
9.1	3.65	0.65
9.3	3.78	1.7
9.4	3.95	2.7
9.5	4.22	7.4
9.6	4.96	20.1
9.7	6.97	7.6
9.8	7.73	1.45
10	8.02	1.6
10.1	8.18	0.7
10.2	8.25	1
10.3	8.35	0.8
10.4	8.43	0.8
10.5	8.51	0.7
10.6	8.58	0.6
10.7	8.64	0.5
10.8	8.69	0.2
10.9	8.71	0.4
11	8.75	0.4
11.1	8.79	0.3
11.2	8.82	0.3
11.3	8.85	0.4
11.4	8.89	0.3
11.5	8.92	0.3
11.6	8.95	0.3
11.7	8.98	0.2
11.8	9	0.3
11.9	9.03	0.2
12	9.05	0.2
12.2	9.09	0.25
12.4	9.14	0.15
12.6	9.17	0.25
12.8	9.22	0.2
13	9.26	0.15
13.2	9.29	0.2
13.4	9.33	0.2
13.7	9.39	0.1
14	9.42	0.2
14.5	9.52	0.14
15	9.59	0.16
15.5	9.67	0.16
16	9.75	0.16
16.5	9.83	0.16
17	9.91	0.18
17.5	10	0.18
18	10.09	0.2
18.1	10.11	0.1
18.2	10.12	0.1
18.3	10.13	0.2
18.4	10.15	0.2
18.5	10.17	0.2
18.6	10.19	0.2
18.7	10.21	0.1
18.8	10.22	0.2
18.9	10.24	0.2
19	10.26	0.2
19.1	10.28	0.2
19.2	10.3	0.2
19.3	10.32	0.2
19.5	10.36	0.3
19.6	10.39	0.1
19.7	10.4	0.2
19.8	10.42	0.3
19.9	10.45	0.1
20	10.46	0.25
20.2	10.51	0.35
20.4	10.58	0.2
20.6	10.62	0.35
20.8	10.69	0.3
21	10.75	0.3
21.2	10.81	0.2
21.4	10.85	0.3
21.6	10.91	0.35
21.8	10.98	0.25
22	11.03	0.25
22.2	11.08	0.3
22.4	11.14	0.2
22.6	11.18	0.2
22.8	11.22	0.15
23	11.25	0.2
23.5	11.35	0.14
24	11.42	0.12
24.5	11.48	0.1
25	11.53	
