1	27.8
1	27.7
1	27.7
1	27.7
1	27.7
1	27.7
1	27.7
1	27.7
1	27.7
1	27.7
1	27.7
1	27.7
1	27.8
1	27.7
1	27.7
1	27.7
1	27.7
1	27.7
1	27.7
1	27.8
1	27.7
1	27.7
1	27.8
1	27.7
1	27.7
1	27.8
1	27.7
1	27.7
1	27.7
1	27.7
1	27.7
1	27.7
1	27.7
1	27.7
1	27.7
1	27.8
1	27.8
1	27.8
1	27.7
1	27.7
1	27.8
1	27.8
1	27.9
1	27.9
1	28
5	26.8
8	26.9
10	26.8
13	26.5
16	26.2
19	25.8
22	25.5
23	25.7
25	25.7
26	25.7
28	25.9
29	26
31	26
34	26
34	25.8
34	25.7
34	25.6
34	25.6
34	25.6
34	25.5
34	25.5
34	25.7
34	25.8
35	26
37	26.2
39	26.4
42	26.6
46	26.9
49	27.3
53	27.9
56	28.6
59	28.9
60	29.1
60	28.9
60	28.6
60	28.7
60	28.8
60	28.7
60	28.7
60	28.9
60	28.8
60	28.9
61	29.2
66	30.3
70	31.1
75	32.2
79	33.1
81	33.4
81	33.3
81	33
81	33
81	33.1
81	33.1
81	33
81	33
81	33.1
81	32.8
84	33.7
86	34.2
89	34.9
94	35.7
98	36.4
102	37
106	37.5
109	37.7
110	37.6
110	37.3
110	37.2
110	37.3
110	37.3
110	37.2
110	37.4
110	37.6
113	37.6
117	37.7
123	37.2
130	36.1
135	35.2
139	34.2
140	33.9
140	33.7
140	33.6
140	33.6
140	33.6
140	33.7
140	33.7
140	33.9
140	34
140	34.1
140	34.1
142	33.8
146	32.8
149	32
152	31.3
155	30.8
155	30.7
155	30.7
155	30.4
155	30.2
155	30.4
155	30.5
155	30.6
155	30.6
155	30.4
155	30.4
155	30.6
158	30.1
161	29.7
166	29.2
170	28.7
176	27.4
180	27
180	26.9
180	26.7
180	26.7
180	26.6
180	26.7
180	26.8
180	26.8
180	27
181	26.8
185	26.5
189	26.2
194	25.7
199	25.5
202	25.3
202	25.2
202	25.1
202	25
202	25.1
202	25
202	25.1
202	25.3
202	25.5
202	25.5
203	25.5
208	25.4
212	25.6
216	26
220	26.2
221	26.2
221	26
221	25.9
221	25.8
221	25.9
221	25.9
221	25.8
221	26
221	26.1
221	26.2
223	26.4
226	27
229	27.8
233	28.2
237	29
239	29.6
239	29.4
239	29.2
239	29.1
239	29
239	29.2
239	29.3
239	29.2
239	29.4
241	30.1
246	31.5
250	32.6
256	33.5
260	34.2
262	34.3
262	34.2
262	34
262	34
262	33.9
262	33.8
262	33.8
262	34
262	34.1
262	34.2
262	34.3
262	34.4
263	34.9
264	35.2
265	35.8
267	36.5
269	36.8
271	36.5
275	36.2
280	36.5
285	36.9
289	37
292	37.2
294	37.1
296	37.1
298	36.9
298	36.6
298	36.5
298	36.5
298	36.3
298	36.5
298	36.9
298	36.6
299	36.2
303	36.7
309	36.9
316	35.9
322	35.1
328	33.8
330	32.8
330	32.2
330	32.2
330	32.1
330	32.2
330	32.3
330	32.3
330	32.3
330	32.4
330	32.4
332	32.4
334	32.3
338	31.5
342	30.9
347	29.7
355	28.1
363	26.6
371	25.8
373	25.7
373	25.5
373	25.5
373	25.5
373	25.5
373	25.4
373	25.4
373	26
373	25.9
376	26
382	25.9
387	25.8
394	25.8
397	25.8
397	25.8
398	25.7
398	25.6
398	25.5
398	25.7
398	25.4
398	25.2
398	25.3
398	25.3
398	25.3
398	25.3
398	25.3
398	25.4
398	25.4
398	25.4
398	25.4
398	25.4
398	25.4
398	25.4
398	25.4
398	25.4
398	25.4
398	25.4
398	25.4
398	25.4
398	25.4
398	25.4
398	25.5
398	25.4
398	25.4
398	25.4
398	25.4
398	25.4
398	25.4
398	25.4
398	25.4
398	25.4
398	25.4
398	25.4
398	25.4
398	25.4
398	25.4
398	25.4
398	25.4
398	25.4
398	25.4
398	25.4
